prov	city	area	adcode	zipcode
北京市	市辖区	东城区	110101	100000
北京市	市辖区	西城区	110102	100000
北京市	市辖区	朝阳区	110105	100000
北京市	市辖区	丰台区	110106	100000
北京市	市辖区	石景山区	110107	100000
北京市	市辖区	海淀区	110108	100000
北京市	市辖区	门头沟区	110109	102300
北京市	市辖区	房山区	110111	102400
北京市	市辖区	通州区	110112	101100
北京市	市辖区	顺义区	110113	101300
北京市	市辖区	昌平区	110114	102200
北京市	市辖区	大兴区	110115	102600
北京市	市辖区	怀柔区	110116	101400
北京市	市辖区	平谷区	110117	101200
北京市	市辖区	密云区	110118	101500
北京市	市辖区	延庆区	110119	102100
天津市	市辖区	和平区	120101	300000
天津市	市辖区	河东区	120102	300000
天津市	市辖区	河西区	120103	300000
天津市	市辖区	南开区	120104	300000
天津市	市辖区	河北区	120105	300000
天津市	市辖区	红桥区	120106	300000
天津市	市辖区	东丽区	120110	300000
天津市	市辖区	西青区	120111	300000
天津市	市辖区	津南区	120112	300000
天津市	市辖区	北辰区	120113	300000
天津市	市辖区	武清区	120114	301700
天津市	市辖区	宝坻区	120115	301800
天津市	市辖区	滨海新区	120116	300000
天津市	市辖区	宁河区	120117	301500
天津市	市辖区	静海区	120118	301600
天津市	市辖区	蓟州区	120119	301900
河北省	石家庄市	长安区	130102	50000
河北省	石家庄市	桥西区	130104	50000
河北省	石家庄市	新华区	130105	50000
河北省	石家庄市	井陉矿区	130107	50100
河北省	石家庄市	裕华区	130108	50000
河北省	石家庄市	藁城区	130109	52100
河北省	石家庄市	鹿泉区	130110	50200
河北省	石家庄市	栾城区	130111	51400
河北省	石家庄市	井陉县	130121	50300
河北省	石家庄市	正定县	130123	50800
河北省	石家庄市	行唐县	130125	50600
河北省	石家庄市	灵寿县	130126	50500
河北省	石家庄市	高邑县	130127	51300
河北省	石家庄市	深泽县	130128	52500
河北省	石家庄市	赞皇县	130129	51200
河北省	石家庄市	无极县	130130	52400
河北省	石家庄市	平山县	130131	50400
河北省	石家庄市	元氏县	130132	51100
河北省	石家庄市	赵县	130133	51500
河北省	石家庄市	辛集市	130181	52300
河北省	石家庄市	晋州市	130183	52200
河北省	石家庄市	新乐市	130184	50700
河北省	唐山市	路南区	130202	63000
河北省	唐山市	路北区	130203	63000
河北省	唐山市	古冶区	130204	63100
河北省	唐山市	开平区	130205	63000
河北省	唐山市	丰南区	130207	63300
河北省	唐山市	丰润区	130208	64000
河北省	唐山市	曹妃甸区	130209	63200
河北省	唐山市	滦南县	130224	63500
河北省	唐山市	乐亭县	130225	63600
河北省	唐山市	迁西县	130227	64300
河北省	唐山市	玉田县	130229	64100
河北省	唐山市	遵化市	130281	64200
河北省	唐山市	迁安市	130283	64400
河北省	唐山市	滦州市	130284	63700
河北省	秦皇岛市	海港区	130302	66000
河北省	秦皇岛市	山海关区	130303	66200
河北省	秦皇岛市	北戴河区	130304	66100
河北省	秦皇岛市	抚宁区	130306	66300
河北省	秦皇岛市	青龙满族自治县	130321	66500
河北省	秦皇岛市	昌黎县	130322	66600
河北省	秦皇岛市	卢龙县	130324	66400
河北省	邯郸市	邯山区	130402	56000
河北省	邯郸市	丛台区	130403	56000
河北省	邯郸市	复兴区	130404	56000
河北省	邯郸市	峰峰矿区	130406	56200
河北省	邯郸市	肥乡区	130407	57500
河北省	邯郸市	永年区	130408	57100
河北省	邯郸市	临漳县	130423	56600
河北省	邯郸市	成安县	130424	56700
河北省	邯郸市	大名县	130425	56900
河北省	邯郸市	涉县	130426	56400
河北省	邯郸市	磁县	130427	56500
河北省	邯郸市	邱县	130430	57400
河北省	邯郸市	鸡泽县	130431	57300
河北省	邯郸市	广平县	130432	57600
河北省	邯郸市	馆陶县	130433	57700
河北省	邯郸市	魏县	130434	56800
河北省	邯郸市	曲周县	130435	57200
河北省	邯郸市	武安市	130481	56300
河北省	邢台市	襄都区	130502	54000
河北省	邢台市	信都区	130503	54000
河北省	邢台市	任泽区	130505	55100
河北省	邢台市	南和区	130506	54400
河北省	邢台市	临城县	130522	54300
河北省	邢台市	内丘县	130523	54200
河北省	邢台市	柏乡县	130524	55400
河北省	邢台市	隆尧县	130525	55300
河北省	邢台市	宁晋县	130528	55500
河北省	邢台市	巨鹿县	130529	55200
河北省	邢台市	新河县	130530	55600
河北省	邢台市	广宗县	130531	54600
河北省	邢台市	平乡县	130532	54500
河北省	邢台市	威县	130533	54700
河北省	邢台市	清河县	130534	54800
河北省	邢台市	临西县	130535	54900
河北省	邢台市	南宫市	130581	55700
河北省	邢台市	沙河市	130582	54100
河北省	保定市	竞秀区	130602	71000
河北省	保定市	莲池区	130606	71000
河北省	保定市	满城区	130607	72100
河北省	保定市	清苑区	130608	71100
河北省	保定市	徐水区	130609	72500
河北省	保定市	涞水县	130623	74100
河北省	保定市	阜平县	130624	73200
河北省	保定市	定兴县	130626	72600
河北省	保定市	唐县	130627	72300
河北省	保定市	高阳县	130628	71500
河北省	保定市	容城县	130629	71700
河北省	保定市	涞源县	130630	74300
河北省	保定市	望都县	130631	72400
河北省	保定市	安新县	130632	71600
河北省	保定市	易县	130633	74200
河北省	保定市	曲阳县	130634	73100
河北省	保定市	蠡县	130635	71400
河北省	保定市	顺平县	130636	72200
河北省	保定市	博野县	130637	71300
河北省	保定市	雄县	130638	71800
河北省	保定市	涿州市	130681	72700
河北省	保定市	定州市	130682	73000
河北省	保定市	安国市	130683	71200
河北省	保定市	高碑店市	130684	74000
河北省	张家口市	桥东区	130702	75000
河北省	张家口市	桥西区	130703	75000
河北省	张家口市	宣化区	130705	75100
河北省	张家口市	下花园区	130706	75300
河北省	张家口市	万全区	130708	76200
河北省	张家口市	崇礼区	130709	76300
河北省	张家口市	张北县	130722	76400
河北省	张家口市	康保县	130723	76600
河北省	张家口市	沽源县	130724	76500
河北省	张家口市	尚义县	130725	76700
河北省	张家口市	蔚县	130726	75700
河北省	张家口市	阳原县	130727	75800
河北省	张家口市	怀安县	130728	76100
河北省	张家口市	怀来县	130730	75400
河北省	张家口市	涿鹿县	130731	75600
河北省	张家口市	赤城县	130732	75500
河北省	承德市	双桥区	130802	67000
河北省	承德市	双滦区	130803	67100
河北省	承德市	鹰手营子矿区	130804	67200
河北省	承德市	承德县	130821	67400
河北省	承德市	兴隆县	130822	67300
河北省	承德市	滦平县	130824	68200
河北省	承德市	隆化县	130825	68100
河北省	承德市	丰宁满族自治县	130826	68300
河北省	承德市	宽城满族自治县	130827	67600
河北省	承德市	围场满族蒙古族自治县	130828	68400
河北省	承德市	平泉市	130881	67500
河北省	沧州市	新华区	130902	61000
河北省	沧州市	运河区	130903	61000
河北省	沧州市	沧县	130921	61700
河北省	沧州市	青县	130922	62600
河北省	沧州市	东光县	130923	61600
河北省	沧州市	海兴县	130924	61200
河北省	沧州市	盐山县	130925	61300
河北省	沧州市	肃宁县	130926	62300
河北省	沧州市	南皮县	130927	61500
河北省	沧州市	吴桥县	130928	61800
河北省	沧州市	献县	130929	62200
河北省	沧州市	孟村回族自治县	130930	61400
河北省	沧州市	泊头市	130981	62100
河北省	沧州市	任丘市	130982	62500
河北省	沧州市	黄骅市	130983	61100
河北省	沧州市	河间市	130984	62400
河北省	廊坊市	安次区	131002	65000
河北省	廊坊市	广阳区	131003	65000
河北省	廊坊市	固安县	131022	65500
河北省	廊坊市	永清县	131023	65600
河北省	廊坊市	香河县	131024	65400
河北省	廊坊市	大城县	131025	65900
河北省	廊坊市	文安县	131026	65800
河北省	廊坊市	大厂回族自治县	131028	65300
河北省	廊坊市	霸州市	131081	65700
河北省	廊坊市	三河市	131082	65200
河北省	衡水市	桃城区	131102	53000
河北省	衡水市	冀州区	131103	53200
